"","Group"
"GSM1172844","Non-malignant"
"GSM1172845","Non-malignant"
"GSM1172846","Basal"
"GSM1172847","Basal"
"GSM1172848","Basal"
"GSM1172849","Basal"
"GSM1172850","Luminal"
"GSM1172851","Luminal"
"GSM1172853","Luminal"
"GSM1172854","Luminal"
"GSM1172856","Luminal"
"GSM1172858","Luminal"
"GSM1172859","Luminal"
"GSM1172860","Luminal"
"GSM1172861","Basal"
"GSM1172864","Luminal"
"GSM1172865","Luminal"
"GSM1172867","Basal"
"GSM1172868","Basal"
"GSM1172869","Basal"
"GSM1172870","Basal"
"GSM1172871","Basal"
"GSM1172872","Luminal"
"GSM1172873","Luminal"
"GSM1172874","Basal"
"GSM1172876","Basal"
"GSM1172878","Basal"
"GSM1172879","Luminal"
"GSM1172882","Non-malignant"
"GSM1172883","Non-malignant"
"GSM1172884","Non-malignant"
"GSM1172885","Luminal"
"GSM1172886","Luminal"
"GSM1172888","Luminal"
"GSM1172890","Luminal"
"GSM1172895","Luminal"
"GSM1172897","Basal"
"GSM1172901","Luminal"
"GSM1172903","Luminal"
"GSM1172904","Luminal"
"GSM1172906","Luminal"
"GSM1172907","Luminal"
"GSM1172908","Luminal"
"GSM1172909","Luminal"
"GSM1172910","Luminal"
"GSM1384316","Luminal"
